elapsed_s,src_ip,rate_kbps,pps,ce_fraction,congested
92.232,10.0.3.3,227,11.9,1.0000,1
92.340,10.0.2.2,227,18.6,1.0000,1
92.558,10.0.1.1,227,14.2,1.0000,1
92.813,10.0.4.4,160,9.8,1.0000,1
93.322,10.0.3.3,191,14.7,1.0000,1
93.344,10.0.2.2,191,12.9,1.0000,1
93.559,10.0.1.1,191,16.0,1.0000,1
93.849,10.0.4.4,140,10.6,1.0000,1
94.324,10.0.3.3,163,13.0,1.0000,1
94.346,10.0.2.2,163,14.0,1.0000,1
94.850,10.0.4.4,111,12.0,1.0000,1
95.359,10.0.3.3,124,17.4,1.0000,1
95.376,10.0.2.2,124,17.5,1.0000,1
95.870,10.0.4.4,100,14.7,1.0000,1
96.364,10.0.3.3,111,15.9,0.7500,1
96.386,10.0.2.2,111,15.8,0.7500,1
96.980,10.0.4.4,91,9.9,0.2727,0
97.397,10.0.2.2,100,8.9,0.0000,0
97.421,10.0.3.3,100,8.5,0.0000,0
98.015,10.0.4.4,126,10.6,0.0000,0
98.399,10.0.2.2,134,11.0,0.0000,0
98.486,10.0.3.3,134,11.3,0.0000,0
99.030,10.0.4.4,178,14.8,0.0000,0
99.437,10.0.2.2,185,15.4,0.0000,0
99.491,10.0.3.3,185,14.9,0.0000,0
100.037,10.0.4.4,235,17.9,0.0556,0
100.438,10.0.2.2,242,17.0,0.2941,0
100.528,10.0.3.3,242,17.4,0.5556,1
101.055,10.0.4.4,291,18.7,1.0000,1
101.455,10.0.2.2,296,17.7,1.0000,1
101.545,10.0.3.3,273,16.7,1.0000,1
102.110,10.0.4.4,308,18.0,1.0000,1
102.455,10.0.2.2,308,18.0,1.0000,1
102.582,10.0.3.3,228,15.4,1.0000,1
103.164,10.0.4.4,254,19.0,1.0000,1
103.456,10.0.2.2,254,20.0,1.0000,1
103.600,10.0.3.3,191,14.7,1.0000,1
104.200,10.0.4.4,254,18.3,1.0000,1
104.491,10.0.2.2,254,19.3,1.0000,1
104.654,10.0.3.3,191,15.2,1.0000,1
105.237,10.0.4.4,210,18.3,1.0000,1
105.493,10.0.2.2,210,19.0,1.0000,1
105.728,10.0.3.3,141,14.9,1.0000,1
106.273,10.0.4.4,152,17.4,1.0000,1
106.545,10.0.2.2,152,18.1,1.0000,1
106.764,10.0.3.3,124,15.4,1.0000,1
107.310,10.0.4.4,133,17.4,1.0000,1
107.582,10.0.2.2,133,18.3,1.0000,1
107.838,10.0.3.3,111,14.9,1.0000,1
108.394,10.0.4.4,118,14.8,0.6250,1
108.651,10.0.2.2,118,13.1,0.3571,1
108.934,10.0.3.3,100,10.0,0.0909,0
109.449,10.0.4.4,106,9.5,0.0000,0
109.742,10.0.2.2,106,9.2,0.0000,0
110.017,10.0.3.3,134,11.1,0.0000,0
110.481,10.0.4.4,140,11.6,0.0000,0
110.773,10.0.2.2,140,11.6,0.0000,0
111.072,10.0.3.3,185,15.2,0.0000,0
111.504,10.0.4.4,191,15.6,0.0000,0
111.813,10.0.2.2,191,15.4,0.0000,0
112.138,10.0.3.3,242,18.8,0.0500,0
112.521,10.0.4.4,247,17.7,0.4444,1
112.848,10.0.2.2,247,16.4,0.7059,1
113.176,10.0.3.3,296,19.3,1.0000,1
113.557,10.0.4.4,273,17.4,1.0000,1
113.866,10.0.2.2,273,16.7,1.0000,1
114.193,10.0.3.3,308,18.7,1.0000,1
114.576,10.0.4.4,228,16.7,1.0000,1
115.194,10.0.3.3,254,26.0,1.0000,1
115.613,10.0.4.4,191,23.1,1.0000,1
116.236,10.0.3.3,210,28.8,0.8333,1
116.648,10.0.4.4,163,19.3,0.5500,1
117.302,10.0.3.3,177,15.0,0.0000,0
117.688,10.0.4.4,141,12.5,0.0000,0
118.339,10.0.3.3,212,17.4,0.0000,0
118.719,10.0.4.4,176,14.5,0.0000,0
119.351,10.0.3.3,258,21.7,0.0000,0
119.728,10.0.4.4,224,18.8,0.0000,0
120.366,10.0.3.3,306,25.6,0.0000,0
120.730,10.0.4.4,276,22.9,0.0000,0
121.384,10.0.3.3,351,28.5,0.0000,0
121.767,10.0.4.4,326,25.1,0.0000,0
122.386,10.0.3.3,391,28.0,0.5714,1
122.785,10.0.4.4,370,25.5,0.9615,1
123.422,10.0.3.3,336,26.1,1.0000,1
123.785,10.0.4.4,334,27.0,1.0000,1
124.440,10.0.3.3,275,25.5,1.0000,1
124.803,10.0.4.4,273,27.5,1.0000,1
125.451,10.0.3.3,225,25.7,0.7308,1
125.853,10.0.4.4,224,23.8,0.4400,1
126.507,10.0.3.3,188,16.1,0.0000,0
126.858,10.0.4.4,187,15.9,0.0000,0
127.524,10.0.3.3,223,18.7,0.0000,0
127.877,10.0.4.4,222,18.6,0.0000,0
128.573,10.0.3.3,268,21.9,0.0000,0
128.928,10.0.4.4,267,21.9,0.0000,0
129.586,10.0.3.3,315,26.7,0.0000,0
129.931,10.0.4.4,314,25.9,0.0000,0
130.604,10.0.3.3,359,27.5,0.2143,0
130.968,10.0.4.4,358,26.1,0.4815,1
131.604,10.0.3.3,397,28.0,1.0000,1
132.005,10.0.4.4,317,24.1,1.0000,1
132.623,10.0.3.3,340,28.5,1.0000,1
133.005,10.0.4.4,260,24.0,1.0000,1
133.624,10.0.3.3,277,29.0,1.0000,1
134.014,10.0.4.4,214,23.8,0.6667,1
134.624,10.0.3.3,226,22.0,0.0000,0
135.033,10.0.4.4,180,15.7,0.0000,0
136.046,10.0.4.4,215,17.8,0.0000,0
137.079,10.0.4.4,261,21.3,0.0000,0
138.112,10.0.4.4,309,25.2,0.0000,0
139.120,10.0.4.4,354,28.8,0.0000,0
140.143,10.0.4.4,393,32.3,0.0000,0
141.162,10.0.4.4,427,35.3,0.0000,0
142.172,10.0.4.4,455,37.6,0.0000,0
143.177,10.0.4.4,478,38.8,0.0000,0
144.187,10.0.4.4,497,40.6,0.0000,0
145.193,10.0.4.4,512,41.8,0.0000,0
146.216,10.0.4.4,524,42.0,0.0000,0
147.223,10.0.4.4,534,43.7,0.0000,0
148.229,10.0.4.4,542,44.7,0.0000,0
149.232,10.0.4.4,548,44.9,0.0000,0
150.238,10.0.4.4,553,44.7,0.0000,0
151.250,10.0.4.4,558,45.5,0.0000,0
152.269,10.0.4.4,563,46.1,0.0000,0
153.274,10.0.4.4,568,45.8,0.0000,0
154.287,10.0.4.4,573,46.4,0.0000,0
